StockCode,Recency,Frequency,Monetary,R,F,M,RFM_Score,LoyalCustomer,Predicted_LoyalCustomer
20835,29,8,65.8,3,1,1,5,0,0
20836,16,18,151.05999999999997,3,2,2,7,0,0
20837,20,15,142.47,3,1,2,6,0,0
20838,4,58,471.65,3,2,2,7,0,0
20839,1,105,840.4399999999999,1,3,3,7,0,0
20840,1,75,642.52,1,3,2,6,0,0
20845,115,11,120.64999999999999,4,1,1,6,0,0
20846,3,88,958.57,2,3,3,8,0,0
20847,15,18,217.57999999999998,3,2,2,7,0,0
20848,33,8,61.95,4,1,1,6,0,0
20851,226,7,53.550000000000004,4,1,1,6,0,0
20854,293,42,409.41999999999996,4,2,2,8,0,0
20856,122,62,373.78999999999996,4,2,2,8,0,0
20857,295,9,77.55,4,1,1,6,0,0
20860,361,1,2.1,4,1,1,6,0,0
20861,365,2,4.2,4,1,1,6,0,0
20866,1,91,838.15,1,3,3,7,0,0
20867,4,62,393.46999999999997,3,2,2,7,0,0
20868,1,46,219.35000000000002,1,2,2,5,0,0
20869,1,29,86.76,1,2,1,4,0,0
20871,360,1,8.42,4,1,1,6,0,0
20878,369,7,31.25,4,1,1,6,0,0
20886,33,104,999.88,4,3,3,10,1,1
20892,353,3,89.22,4,1,1,6,0,0
20893,6,27,687.1700000000001,3,2,2,7,0,0
20894,9,15,108.71000000000001,3,1,1,5,0,0
20897,102,26,333.67,4,2,2,8,0,0
20898,47,14,123.43,4,1,1,6,0,0
20901,25,16,104.17999999999999,3,1,1,5,0,0
20902,121,56,686.86,4,2,2,8,0,0
20903,47,56,441.89,4,2,2,8,0,0
20906,250,2,8.850000000000001,4,1,1,6,0,0
20910,359,3,50.8,4,1,1,6,0,0
20914,1,914,18691.05,1,4,4,9,1,1
20931,1,71,1105.95,1,3,3,7,0,0
20932,1,37,658.2900000000001,1,2,2,5,0,0
20933,2,9,71.05,2,1,1,4,0,0
20934,35,36,499.76,4,2,2,8,0,0
20935,23,4,17.700000000000003,3,1,1,5,0,0
20936,1,35,322.61,1,2,2,5,0,0
20941,156,20,86.28,4,2,1,7,0,0
20954,357,2,16.94,4,1,1,6,0,0
20956,3,103,1155.27,2,3,3,8,0,0
20957,373,1,1.45,4,1,1,6,0,0
20960,278,10,72.49,4,1,1,6,0,0
20961,1,229,1811.68,1,4,3,8,0,0
20963,1,229,1913.67,1,4,3,8,0,0
20964,218,1,5.1,4,1,1,6,0,0
20966,108,97,1022.8,4,3,3,10,1,1
20967,44,83,1031.69,4,3,3,10,1,1
20969,1,307,8217.0,1,4,4,9,1,1
20970,1,264,4247.13,1,4,4,9,1,1
20971,1,526,16616.87,1,4,4,9,1,1
20972,1,618,9189.31,1,4,4,9,1,1
20973,1,357,3218.7200000000003,1,4,4,9,1,1
20974,1,358,4899.88,1,4,4,9,1,1
20975,1,366,4465.820000000001,1,4,4,9,1,1
20977,32,189,2424.89,4,4,4,12,1,1
20978,1,264,2420.05,1,4,4,9,1,1
20979,1,341,4929.9800000000005,1,4,4,9,1,1
20980,123,21,88.16,4,2,1,7,0,0
20981,1,253,1758.4199999999998,1,4,3,8,0,0
20982,1,259,1888.32,1,4,3,8,0,0
20983,1,271,2388.41,1,4,4,9,1,1
20984,54,171,1180.86,4,4,3,11,1,1
20985,1,134,1565.02,1,3,3,7,0,0
20986,1,113,833.49,1,3,3,7,0,0
20992,1,277,1965.81,1,4,3,8,0,0
20996,1,225,727.46,1,4,3,8,0,0
20997,2,34,257.61,2,2,2,6,0,0
20998,56,69,505.20000000000005,4,3,2,9,1,1
21000,1,52,365.09,1,2,2,5,0,0
21001,2,50,354.14,2,2,2,6,0,0
21002,48,66,428.66,4,3,2,9,1,1
21003,2,46,460.58,2,2,2,6,0,0
21009,357,1,1.25,4,1,1,6,0,0
21011,354,3,28.999999999999996,4,1,1,6,0,0
21012,1,200,2624.55,1,4,4,9,1,1
21014,16,119,598.8199999999999,3,3,2,8,0,0
21015,1,143,591.29,1,3,2,6,0,0
21018,357,6,22.06,4,1,1,6,0,0
21025,3,56,233.52,2,2,2,6,0,0
21026,1,68,319.5,1,3,2,6,0,0
21027,19,42,190.29,3,2,2,7,0,0
21028,1,58,239.24,1,2,2,5,0,0
21030,19,33,172.2,3,2,2,7,0,0
21031,24,19,65.49,3,2,1,6,0,0
21032,10,30,119.03,3,2,1,6,0,0
21033,92,301,4855.6,4,4,4,12,1,1
21034,1,874,1862.0,1,4,3,8,0,0
21035,1,396,9099.85,1,4,4,9,1,1
21038,219,24,92.65,4,2,1,7,0,0
21039,3,92,1384.29,2,3,3,8,0,0
21040,269,8,29.7,4,1,1,6,0,0
21041,16,258,3918.48,3,4,4,11,1,1
21042,2,136,2239.8700000000003,2,3,3,8,0,0
21043,185,90,1143.76,4,3,3,10,1,1
21051,2,51,377.2,2,2,2,6,0,0
21054,26,29,634.53,3,2,2,7,0,0
21055,1,106,1836.2399999999998,1,3,3,7,0,0
21056,2,74,1783.3,2,3,3,8,0,0
21058,2,123,978.41,2,3,3,8,0,0
21059,2,95,538.43,2,3,2,7,0,0
21060,4,71,359.28999999999996,3,3,2,8,0,0
21061,5,83,451.7,3,3,2,8,0,0
21062,7,74,458.22999999999996,3,3,2,8,0,0
21063,4,102,458.31,3,3,2,8,0,0
21064,1,101,1301.55,1,3,3,7,0,0
21065,1,90,1172.48,1,3,3,7,0,0
21066,9,55,709.72,3,2,3,8,0,0
21067,66,79,536.03,4,3,2,9,1,1
21068,1,201,1935.99,1,4,3,8,0,0
21069,114,87,2994.83,4,3,4,11,1,1
21070,1,107,1186.23,1,3,3,7,0,0
21071,39,178,1391.64,4,4,3,11,1,1
21078,57,313,2540.39,4,4,4,12,1,1
21080,1,988,11333.81,1,4,4,9,1,1
21082,164,25,143.44,4,2,2,8,0,0
21084,3,182,777.7,2,4,3,9,1,1
21086,3,428,4861.900000000001,2,4,4,10,1,1
21087,234,16,74.57000000000001,4,1,1,6,0,0
21088,1,104,430.56,1,3,2,6,0,0
21089,114,25,48.99,4,2,1,7,0,0
21090,3,220,1292.27,2,4,3,9,1,1
21094,2,527,6933.259999999999,2,4,4,10,1,1
21095,176,14,118.72999999999999,4,1,1,6,0,0
21096,2,105,581.09,2,3,2,7,0,0
21098,1,250,5135.67,1,4,4,9,1,1
21100,262,27,162.20999999999998,4,2,2,8,0,0
21106,7,53,702.51,3,2,3,8,0,0
21107,3,97,2501.56,2,3,4,9,1,1
21108,1,265,24660.7,1,4,4,9,1,1
21109,1,112,2765.15,1,3,4,8,0,0
21110,14,135,3835.95,3,3,4,10,1,1
21111,1,94,1652.27,1,3,3,7,0,0
21112,5,82,2885.13,3,3,4,10,1,1
21114,5,139,1821.83,3,3,3,9,1,1
21115,1,162,3174.84,1,3,4,8,0,0
21116,4,251,4051.79,3,4,4,11,1,1
21117,16,14,149.25,3,1,2,6,0,0
21120,365,1,16.98,4,1,1,6,0,0
21121,1,382,8153.85,1,4,4,9,1,1
21122,1,347,6557.29,1,4,4,9,1,1
21123,1,155,1413.34,1,3,3,7,0,0
21124,1,243,4929.3,1,4,4,9,1,1
21125,1,105,837.23,1,3,3,7,0,0
21126,1,126,750.2,1,3,3,7,0,0
21128,2,36,546.6,2,2,2,6,0,0
21129,11,28,433.42,3,2,2,7,0,0
21131,3,28,398.02,2,2,2,6,0,0
21132,1,22,217.35999999999999,1,2,2,5,0,0
21135,2,180,3336.41,2,4,4,10,1,1
21136,1,372,7845.53,1,4,4,9,1,1
21137,1,380,40707.3,1,4,4,9,1,1
21143,109,38,713.0799999999999,4,2,3,9,1,1
21144,339,3,21.36,4,1,1,6,0,0
21145,23,8,152.5,3,1,2,6,0,0
21147,4,76,415.77,3,3,2,8,0,0
21154,1,455,6548.76,1,4,4,9,1,1
21155,1,498,9812.0,1,4,4,9,1,1
21156,1,366,6169.099999999999,1,4,4,9,1,1
21157,45,34,227.6,4,2,2,8,0,0
21158,1,171,793.18,1,4,3,8,0,0
21159,1,124,602.18,1,3,2,6,0,0
21160,360,1,3.36,4,1,1,6,0,0
21161,185,43,231.36999999999998,4,2,2,8,0,0
21162,1,162,794.15,1,3,3,7,0,0
21163,43,128,685.87,4,3,2,9,1,1
21164,1,283,5179.58,1,4,4,9,1,1
21165,3,450,6959.36,2,4,4,10,1,1
21166,1,734,21118.74,1,4,4,9,1,1
21167,1,68,347.64,1,3,2,6,0,0
21169,1,455,7349.58,1,4,4,9,1,1
21171,121,73,613.14,4,3,2,9,1,1
21172,1,469,5364.73,1,4,4,9,1,1
21174,1,538,9413.82,1,4,4,9,1,1
21175,1,816,30849.4,1,4,4,9,1,1
21179,88,267,1320.11,4,4,3,11,1,1
21181,1,855,25460.280000000002,1,4,4,9,1,1
21186,360,1,6.72,4,1,1,6,0,0
21187,127,48,651.75,4,2,2,8,0,0
21188,129,50,1021.9000000000001,4,2,3,9,1,1
21189,1,72,888.67,1,3,3,7,0,0
21190,15,8,317.7,3,1,2,6,0,0
21191,2,95,1451.82,2,3,3,8,0,0
21192,12,88,1924.9399999999998,3,3,3,9,1,1
21194,1,68,564.57,1,3,2,6,0,0
21195,206,80,1308.56,4,3,3,10,1,1
21196,3,13,189.67999999999998,2,1,2,5,0,0
21197,8,28,417.60999999999996,3,2,2,7,0,0
21198,3,73,1068.2299999999998,2,3,3,8,0,0
21199,8,79,908.4899999999999,3,3,3,9,1,1
21200,1,75,1531.1399999999999,1,3,3,7,0,0
21201,1,102,2990.37,1,3,4,8,0,0
21202,23,25,487.11,3,2,2,7,0,0
21204,3,85,868.4399999999999,2,3,3,8,0,0
21205,7,71,728.1899999999999,3,3,3,9,1,1
21206,16,110,1614.22,3,3,3,9,1,1
21207,4,132,1686.4999999999998,3,3,3,9,1,1
21208,1,87,713.76,1,3,3,7,0,0
21209,1,94,894.5699999999999,1,3,3,7,0,0
21210,1,458,8547.84,1,4,4,9,1,1
21211,11,103,1271.52,3,3,3,9,1,1
21212,1,1334,21458.48,1,4,4,9,1,1
21213,1,664,8444.84,1,4,4,9,1,1
21215,2,124,745.45,2,3,3,8,0,0
21216,1,440,11486.06,1,4,4,9,1,1
21217,1,351,11621.939999999999,1,4,4,9,1,1
21218,1,405,10281.74,1,4,4,9,1,1
21219,2,89,561.84,2,3,2,7,0,0
21220,1,89,457.51,1,3,2,6,0,0
21221,2,54,340.22,2,2,2,6,0,0
21222,1,73,353.19,1,3,2,6,0,0
21224,1,167,1095.0,1,3,3,7,0,0
21226,15,20,81.8,3,2,1,6,0,0
21228,275,2,6.25,4,1,1,6,0,0
21231,1,536,7816.610000000001,1,4,4,9,1,1
21232,1,888,16707.05,1,4,4,9,1,1
21238,1,396,3531.66,1,4,4,9,1,1
21239,1,309,2726.89,1,4,4,9,1,1
21240,2,330,3143.15,2,4,4,10,1,1
21242,1,308,5763.929999999999,1,4,4,9,1,1
21243,1,211,3840.68,1,4,4,9,1,1
21244,4,199,3814.6699999999996,3,4,4,11,1,1
21245,3,128,1792.27,2,3,3,8,0,0
21246,96,98,1346.68,4,3,3,10,1,1
21248,1,67,332.16999999999996,1,3,2,6,0,0
21249,2,119,2160.0,2,3,3,8,0,0
21250,9,20,274.37,3,2,2,7,0,0
21251,9,46,568.98,3,2,2,7,0,0
21253,1,62,593.37,1,2,2,5,0,0
21257,1,266,6997.7699999999995,1,4,4,9,1,1
21258,1,181,8354.55,1,4,4,9,1,1
21259,1,293,7199.150000000001,1,4,4,9,1,1
21260,1,168,3861.98,1,4,4,9,1,1
21261,4,45,672.09,3,2,2,7,0,0
21262,2,81,1298.8100000000002,2,3,3,8,0,0
21263,3,43,360.87,2,2,2,6,0,0
21264,3,50,591.15,2,2,2,6,0,0
21265,2,19,267.21,2,2,2,6,0,0
21268,372,1,0.84,4,1,1,6,0,0
21269,17,19,254.98000000000002,3,2,2,7,0,0
21270,5,36,530.19,3,2,2,7,0,0
21272,121,105,786.3199999999999,4,3,3,10,1,1
21275,29,14,346.83,3,1,2,6,0,0
21277,16,24,615.3299999999999,3,2,2,7,0,0
21278,147,7,109.64999999999999,4,1,1,6,0,0
21279,5,30,273.79999999999995,3,2,2,7,0,0
21280,30,12,165.75,3,1,2,6,0,0
21281,30,14,129.63,3,1,1,5,0,0
21284,1,44,406.54,1,2,2,5,0,0
21285,1,44,429.48,1,2,2,5,0,0
21286,1,30,362.12,1,2,2,5,0,0
21287,4,55,760.15,3,2,3,8,0,0
21288,2,111,1131.46,2,3,3,8,0,0
21289,2,51,733.75,2,2,3,7,0,0
21291,11,52,819.64,3,2,3,8,0,0
21292,3,28,594.51,2,2,2,6,0,0
21293,4,24,276.72,3,2,2,7,0,0
21294,44,71,825.49,4,3,3,10,1,1
21306,5,46,200.35,3,2,2,7,0,0
21307,150,13,39.199999999999996,4,1,1,6,0,0
21310,199,1,29.95,4,1,1,6,0,0
21311,5,53,196.7,3,2,2,7,0,0
21313,1,224,2930.14,1,4,4,9,1,1
21314,1,581,10081.730000000001,1,4,4,9,1,1
21316,243,16,220.63000000000002,4,1,2,7,0,0
21317,4,35,694.48,3,2,2,7,0,0
21318,214,54,441.78999999999996,4,2,2,8,0,0
21319,243,20,177.42999999999998,4,2,2,8,0,0
21320,233,20,378.92,4,2,2,8,0,0
21324,214,28,259.67,4,2,2,8,0,0
21326,1,345,6904.12,1,4,4,9,1,1
21327,1,252,1484.1299999999999,1,4,3,8,0,0
21328,1,346,2418.68,1,4,4,9,1,1
21329,1,287,1728.6399999999999,1,4,3,8,0,0
21331,23,8,165.74,3,1,2,6,0,0
21332,116,13,268.1,4,1,2,7,0,0
21333,249,16,168.16000000000003,4,1,2,7,0,0
21336,163,10,54.57,4,1,1,6,0,0
21340,2,297,11636.47,2,4,4,10,1,1
21344,1,7,189.94,1,1,2,4,0,0
21348,318,6,361.55999999999995,4,1,2,7,0,0
21349,38,12,182.6,4,1,2,7,0,0
21351,1,36,720.13,1,2,3,6,0,0
21352,24,79,1572.0100000000002,3,3,3,9,1,1
21354,9,95,1010.21,3,3,3,9,1,1
21355,1,120,998.83,1,3,3,7,0,0
21356,1,151,704.55,1,3,3,7,0,0
21357,256,10,23.75,4,1,1,6,0,0
21358,2,108,494.54,2,3,2,7,0,0
21359,120,31,868.13,4,2,3,9,1,1
21360,186,16,236.17,4,1,2,7,0,0
21361,140,71,1556.96,4,3,3,10,1,1
21363,72,131,1483.14,4,3,3,10,1,1
21364,58,25,229.71,4,2,2,8,0,0
21365,1,52,447.09000000000003,1,2,2,5,0,0
21366,2,46,470.16999999999996,2,2,2,6,0,0
21367,4,43,199.48999999999998,3,2,2,7,0,0
21368,5,33,144.03,3,2,2,7,0,0
21369,5,16,161.49,3,1,2,6,0,0
21370,2,9,100.66000000000001,2,1,1,4,0,0
21371,1,38,319.71,1,2,2,5,0,0
21372,11,33,107.75,3,2,1,6,0,0
21373,2,48,398.04,2,2,2,6,0,0
21374,9,46,463.79,3,2,2,7,0,0
21375,6,27,315.27,3,2,2,7,0,0
21376,6,17,197.81,3,2,2,7,0,0
21377,2,41,215.67999999999998,2,2,2,6,0,0
21378,1,34,217.89,1,2,2,5,0,0
21379,1,50,254.32999999999998,1,2,2,5,0,0
21380,8,291,6319.31,3,4,4,11,1,1
21381,4,226,3180.25,3,4,4,11,1,1
21382,9,129,1395.08,3,3,3,9,1,1
21383,1,168,757.13,1,4,3,8,0,0
21385,2,318,3449.2499999999995,2,4,4,10,1,1
21386,6,51,290.2,3,2,2,7,0,0
21389,5,129,967.6299999999999,3,3,3,9,1,1
21390,2,213,4855.63,2,4,4,10,1,1
21391,19,107,1070.74,3,3,3,9,1,1
21392,267,7,46.39,4,1,1,6,0,0
21393,257,7,38.67,4,1,1,6,0,0
21394,27,135,1612.35,3,3,3,9,1,1
21395,36,93,1145.3,4,3,3,10,1,1
21397,214,65,550.43,4,2,2,8,0,0
21398,234,63,729.6,4,2,3,9,1,1
21399,188,74,917.5799999999999,4,3,3,10,1,1
21400,1,72,128.63,1,3,1,5,0,0
21401,1,82,151.19,1,3,2,6,0,0
21402,1,92,185.51999999999998,1,3,2,6,0,0
21403,1,106,322.18,1,3,2,6,0,0
21407,18,139,1425.36,3,3,3,9,1,1
21408,1,118,1303.71,1,3,3,7,0,0
21410,367,1,8.47,4,1,1,6,0,0
21411,1,242,3007.5299999999997,1,4,4,9,1,1
